Date,Market crash today: (India),Nifty crash: (India)
2022-02-08,0,0
2022-02-09,0,0
2022-02-10,0,0
2022-02-11,10,0
2022-02-12,0,0
2022-02-13,0,0
2022-02-14,100,15
2022-02-15,21,0
2022-02-16,0,0
2022-02-17,0,0
2022-02-18,0,7
2022-02-19,0,0
2022-02-20,0,0
2022-02-21,6,0
2022-02-22,13,8
2022-02-23,5,0
2022-02-24,100,24
2022-02-25,17,0
2022-02-26,0,0
2022-02-27,0,0
2022-02-28,0,0
2022-03-01,0,0
2022-03-02,5,0
2022-03-03,0,0
2022-03-04,6,0
2022-03-05,0,0
2022-03-06,0,0
2022-03-07,15,8
2022-03-08,0,0
2022-03-09,0,0
2022-03-10,0,0
2022-03-11,0,0
2022-03-12,0,0
2022-03-13,0,0
2022-03-14,0,0
2022-03-15,7,0
2022-03-16,0,0
2022-03-17,0,0
2022-03-18,0,0
2022-03-19,0,0
2022-03-20,0,0
2022-03-21,0,0
2022-03-22,0,0
2022-03-23,0,0
2022-03-24,0,0
2022-03-25,0,0
